State,Name,Total Population,Median Age,Median Household Income Per Year (Dollars),Income Per Capita Per Year (Dollars),Percentage of People Living in Poverty,Percentage of Unemployed,Percentage of People Who Completed No Schooling (25+),Percentage of People with High School Degree (25+),Percentage of People with GED (25+),Percentage of People with Associates Degree (25+),Percentage of People with Bachelors Degree (25+),Percentage of People with Masters Degree (25+),Percentage of People with Professional Degree (25+),Percentage of People with Doctoral Degree (25+),Percentage of People of European American Origin,Percentage of People of African American Origin,Percentage of People of Native American Origin,Percentage of People of Asian Origin,Percentage of People of Pacific Islander Origin,Percentage of People of Hispanic Origin,Percentage of People of Multiethnic Origin
41,Oregon,3868721.0,38.7,50229.0,26809.0,15.890988262012174,5.717419271123454,0.6468029097988716,13.7643164239551,3.045114910069762,5.600688186095612,12.792910111636377,5.201641576117791,1.3645078050342736,0.9397679491490858,85.22581493987289,1.8178617687861183,1.2254954544408863,3.8251918398871356,0.38754410049212645,11.939372211126106,3.770083187699501
42,Pennsylvania,12731381.0,40.3,52548.0,28502.0,12.872287774594133,4.567713431873573,0.6526628965074567,22.64971883254456,2.7048361839143764,5.196671123109111,11.531545556605368,5.1562198947623985,1.279059985715611,0.8815932851275129,82.21757718192552,10.884907144008965,0.1591186376403314,2.858817908285048,0.027569672135332374,5.920025486630241,1.9131781540431474
44,Rhode Island,1051695.0,39.6,56361.0,30469.0,13.04979105158815,5.336623260546071,1.1938822567379326,15.39201004093392,3.0165589833554405,5.628818241029957,12.771098084520702,5.972358906336913,1.4826541915669467,0.9958210317630112,81.35381455650165,6.32968683886488,0.43891052063573566,3.0792197357598923,0.03641740238377096,12.866563024451006,2.6192955181873074
45,South Carolina,4679602.0,38.1,44779.0,23943.0,17.529439469424965,5.5227773643997935,0.7948325519990803,17.051621056662512,2.890929613244887,5.770191567573481,10.710162958302865,4.385287466754651,0.9415544313383916,0.6584748019169151,67.18832071616346,27.748812826389933,0.31481309735315094,1.3056024849976557,0.04547395269939623,5.15958408428751,1.8128678464536085
46,South Dakota,825198.0,36.9,49495.0,25740.0,13.582921916921755,2.6963225795506047,0.3459775714434596,17.872074338522392,2.880884345332878,6.642042273490725,11.927198078521762,3.5327279028790666,0.9132353689659936,0.6814122186432832,85.6360534077882,1.3973616029122706,8.696821853664211,1.0418105715234405,0.027387366425997157,2.9808603510914957,2.326350766725077
47,Tennessee,6402387.0,38.2,44298.0,24409.0,17.208144399893353,4.94631143040869,0.7538750781544445,18.09678171594438,4.078228948047033,4.254600666907515,10.26223500703722,3.9274570562510513,1.054528568797856,0.7427542258848144,78.20542557018187,16.7677149163273,0.25934077399569877,1.4963325397230751,0.048575632806951534,4.688235809550407,1.7687621819799395
48,Texas,25639373.0,33.8,51900.0,26019.0,17.226743415293345,3.9787712437429725,1.1856686198995583,12.985434550213066,2.891318754167662,4.061359066775931,11.117791375007494,4.020812053399278,0.949594204195243,0.6282602932606816,74.39768515400124,11.821544934035634,0.5039865834472629,3.975370224537082,0.08180387250499456,37.901578170417814,2.302419797863232
49,Utah,2813673.0,29.6,58821.0,23873.0,12.446542295426655,3.6055717917469443,0.4079009892052132,11.901880566789389,1.6046996221664709,5.362136964743238,11.637741841358253,3.9936055113725013,0.9251252721975866,0.767253337541356,88.40639974865594,1.105352327722518,1.126499063679397,2.066693606542054,0.9292124564581599,13.098608118285245,2.357025851973559
50,Vermont,625904.0,42.0,54267.0,29167.0,11.323301976021883,3.761918760704517,0.3294434929318234,18.722839285257802,2.5855402745468954,5.907774994248319,14.552391421048597,6.848494337789821,1.5619008665865692,1.1409097880825174,95.20022239832306,0.980821340013804,0.29413456376696745,1.2656893069863748,0.02316649198599146,1.566214627163271,1.9573289194509063
51,Virginia,8100653.0,37.5,63907.0,33493.0,10.957079632962923,3.7420316609043742,0.7459028303026929,14.317364291496007,2.5402643465903303,4.668463147353676,13.75036061907602,7.160151163122282,1.6156475286621956,1.0649388388812606,69.46447403684617,19.35672346414542,0.30634567361421355,5.651297494164977,0.06953760394378083,8.142541101316153,2.93638056092515
53,Washington,6819579.0,37.3,59478.0,30742.0,13.09774401029741,4.79729027261067,0.722859871555121,13.177631639724389,2.6226252383028337,6.388341567712611,13.666650096728844,5.438180274764762,1.3506992147169203,0.9241186296104202,78.46434508640489,3.5931983484610996,1.3812289585618114,7.316302076711774,0.5967377165071334,11.49180909847954,4.757933004368745
54,West Virginia,1853619.0,41.5,41043.0,22966.0,17.346930518083813,3.7413837471454494,0.5915455117799289,23.929189331788248,4.568954029927402,4.422861440242035,7.877562756963539,3.4910086700665026,0.9020731876399627,0.5419668227397324,93.76231037769898,3.1553949328313964,0.1594178738996525,0.6908647354175804,0.035929713711393765,1.2561912669216273,1.940420334491608
55,Wisconsin,5706871.0,38.7,52413.0,27523.0,12.681730496448928,4.196064708664346,0.5416453254331489,19.65740946308406,2.365955004064399,6.438274143571846,11.903370515997295,4.3823314036711185,1.0270601876229548,0.678322674544422,87.03368273086951,6.235869007727702,0.8646244150253266,2.323672639525232,0.022867171870539917,6.060518977912765,2.024804836135248
56,Wyoming,570134.0,36.8,57406.0,28902.0,11.18035409219587,2.9396597992752582,0.205039517025822,16.248110093416635,3.5446053033146594,6.701757832369233,10.88288016501384,3.8443593962121185,0.8376978043758134,0.7308808104761336,90.923888068419,0.9062781732013877,2.327172208638671,0.838750188552165,0.03455328045687505,9.200293264390478,2.77846962293075
72,Puerto Rico,3682966.0,37.5,19624.0,11068.0,44.64141129730766,6.728924459253764,1.9366727794934844,15.385561528398577,2.0256499788485693,5.906706714099451,11.125543923022912,2.8187064447513226,0.815375433821545,0.5290844390092116,69.93911972035582,7.7345270089379055,0.2843088966881584,0.3290825926712329,0.001656273774995479,98.92127703595418,11.79093154810552
