,state,State Name,disease,Number of Smallpox Cases,"Smallpox Incidence Per 100,000 People",year,number_week
48133,IA,IOWA,SMALLPOX,0,0.0,1947,21
48134,ID,IDAHO,SMALLPOX,0,0.0,1947,21
48135,IL,ILLINOIS,SMALLPOX,0,0.0,1947,21
48136,IN,INDIANA,SMALLPOX,0,0.0,1947,21
48137,KS,KANSAS,SMALLPOX,0,0.0,1947,21
48138,KY,KENTUCKY,SMALLPOX,0,0.0,1947,21
48139,LA,LOUISIANA,SMALLPOX,1,0.04,1947,21
48140,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1947,21
48141,MD,MARYLAND,SMALLPOX,0,0.0,1947,21
48142,ME,MAINE,SMALLPOX,0,0.0,1947,21
48143,MI,MICHIGAN,SMALLPOX,0,0.0,1947,21
48144,MN,MINNESOTA,SMALLPOX,0,0.0,1947,21
48145,MO,MISSOURI,SMALLPOX,0,0.0,1947,21
48146,MS,MISSISSIPPI,SMALLPOX,0,0.0,1947,21
48147,MT,MONTANA,SMALLPOX,0,0.0,1947,21
48148,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1947,21
48149,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1947,21
48150,NE,NEBRASKA,SMALLPOX,0,0.0,1947,21
48151,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1947,21
48152,NJ,NEW JERSEY,SMALLPOX,0,0.0,1947,21
48153,NM,NEW MEXICO,SMALLPOX,0,0.0,1947,21
48154,NV,NEVADA,SMALLPOX,0,0.0,1947,21
48155,NY,NEW YORK,SMALLPOX,0,0.0,1947,21
48156,OH,OHIO,SMALLPOX,1,0.01,1947,21
48157,OK,OKLAHOMA,SMALLPOX,0,0.0,1947,21
48158,OR,OREGON,SMALLPOX,0,0.0,1947,21
48159,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1947,21
48160,RI,RHODE ISLAND,SMALLPOX,0,0.0,1947,21
48161,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1947,21
48162,SD,SOUTH DAKOTA,SMALLPOX,0,0.0,1947,21
48163,TN,TENNESSEE,SMALLPOX,0,0.0,1947,21
48164,TX,TEXAS,SMALLPOX,1,0.01,1947,21
48165,UT,UTAH,SMALLPOX,0,0.0,1947,21
48166,VA,VIRGINIA,SMALLPOX,0,0.0,1947,21
48167,VT,VERMONT,SMALLPOX,0,0.0,1947,21
48168,WA,WASHINGTON,SMALLPOX,0,0.0,1947,21
48169,WI,WISCONSIN,SMALLPOX,0,0.0,1947,21
48170,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1947,21
48171,WY,WYOMING,SMALLPOX,0,0.0,1947,21
48172,AL,ALABAMA,SMALLPOX,3,0.1,1947,22
48173,AR,ARKANSAS,SMALLPOX,0,0.0,1947,22
48174,AZ,ARIZONA,SMALLPOX,0,0.0,1947,22
48175,CA,CALIFORNIA,SMALLPOX,0,0.0,1947,22
48176,CO,COLORADO,SMALLPOX,0,0.0,1947,22
48177,CT,CONNECTICUT,SMALLPOX,0,0.0,1947,22
48178,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1947,22
48179,DE,DELAWARE,SMALLPOX,0,0.0,1947,22
48180,FL,FLORIDA,SMALLPOX,0,0.0,1947,22
48181,GA,GEORGIA,SMALLPOX,0,0.0,1947,22
48182,IA,IOWA,SMALLPOX,0,0.0,1947,22
48183,ID,IDAHO,SMALLPOX,0,0.0,1947,22
48184,IL,ILLINOIS,SMALLPOX,0,0.0,1947,22
48185,IN,INDIANA,SMALLPOX,0,0.0,1947,22
48186,KS,KANSAS,SMALLPOX,0,0.0,1947,22
48187,KY,KENTUCKY,SMALLPOX,0,0.0,1947,22
48188,LA,LOUISIANA,SMALLPOX,0,0.0,1947,22
48189,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1947,22
48190,MD,MARYLAND,SMALLPOX,0,0.0,1947,22
48191,ME,MAINE,SMALLPOX,0,0.0,1947,22
48192,MI,MICHIGAN,SMALLPOX,0,0.0,1947,22
48193,MN,MINNESOTA,SMALLPOX,0,0.0,1947,22
48194,MO,MISSOURI,SMALLPOX,0,0.0,1947,22
48195,MS,MISSISSIPPI,SMALLPOX,0,0.0,1947,22
48196,MT,MONTANA,SMALLPOX,0,0.0,1947,22
48197,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1947,22
48198,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1947,22
48199,NE,NEBRASKA,SMALLPOX,0,0.0,1947,22
48200,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1947,22
48201,NJ,NEW JERSEY,SMALLPOX,0,0.0,1947,22
48202,NM,NEW MEXICO,SMALLPOX,0,0.0,1947,22
48203,NV,NEVADA,SMALLPOX,0,0.0,1947,22
