,state,State Name,disease,Number of Rubella Cases,"Rubella Incidence Per 100,000 People",year,number_week
259,CT,CONNECTICUT,RUBELLA,99,3.41,1966,09
260,DE,DELAWARE,RUBELLA,1,0.19,1966,09
261,FL,FLORIDA,RUBELLA,43,0.7,1966,09
262,HI,HAWAII,RUBELLA,6,0.85,1966,09
263,IA,IOWA,RUBELLA,52,1.88,1966,09
264,IL,ILLINOIS,RUBELLA,81,0.75,1966,09
265,IN,INDIANA,RUBELLA,71,1.42,1966,09
266,KY,KENTUCKY,RUBELLA,17,0.54,1966,09
267,MA,MASSACHUSETTS,RUBELLA,43,0.78,1966,09
268,MD,MARYLAND,RUBELLA,17,0.46,1966,09
269,ME,MAINE,RUBELLA,3,0.3,1966,09
270,MI,MICHIGAN,RUBELLA,161,1.89,1966,09
271,MN,MINNESOTA,RUBELLA,6,0.17,1966,09
272,MT,MONTANA,RUBELLA,6,0.85,1966,09
273,ND,NORTH DAKOTA,RUBELLA,1,0.15,1966,09
274,NH,NEW HAMPSHIRE,RUBELLA,7,1.03,1966,09
275,NY,NEW YORK,RUBELLA,68,0.38,1966,09
276,OH,OHIO,RUBELLA,44,0.43,1966,09
277,OR,OREGON,RUBELLA,26,1.32,1966,09
278,SC,SOUTH CAROLINA,RUBELLA,18,0.71,1966,09
279,TN,TENNESSEE,RUBELLA,61,1.6,1966,09
280,UT,UTAH,RUBELLA,5,0.5,1966,09
281,VA,VIRGINIA,RUBELLA,13,0.29,1966,09
282,VT,VERMONT,RUBELLA,5,1.21,1966,09
283,WA,WASHINGTON,RUBELLA,186,6.08,1966,09
284,WI,WISCONSIN,RUBELLA,176,4.12,1966,09
285,WV,WEST VIRGINIA,RUBELLA,11,0.62,1966,09
286,AK,ALASKA,RUBELLA,3,1.11,1966,10
287,AL,ALABAMA,RUBELLA,7,0.2,1966,10
288,AZ,ARIZONA,RUBELLA,161,9.98,1966,10
289,CA,CALIFORNIA,RUBELLA,133,0.71,1966,10
290,CO,COLORADO,RUBELLA,19,0.95,1966,10
291,CT,CONNECTICUT,RUBELLA,84,2.89,1966,10
292,DE,DELAWARE,RUBELLA,2,0.39,1966,10
293,FL,FLORIDA,RUBELLA,42,0.69,1966,10
294,HI,HAWAII,RUBELLA,2,0.28,1966,10
295,IA,IOWA,RUBELLA,39,1.41,1966,10
296,ID,IDAHO,RUBELLA,12,1.74,1966,10
297,IL,ILLINOIS,RUBELLA,141,1.3,1966,10
298,IN,INDIANA,RUBELLA,87,1.74,1966,10
299,KY,KENTUCKY,RUBELLA,71,2.26,1966,10
300,MA,MASSACHUSETTS,RUBELLA,26,0.47,1966,10
301,MD,MARYLAND,RUBELLA,5,0.14,1966,10
302,ME,MAINE,RUBELLA,12,1.2,1966,10
303,MI,MICHIGAN,RUBELLA,128,1.5,1966,10
304,MN,MINNESOTA,RUBELLA,3,0.08,1966,10
305,MT,MONTANA,RUBELLA,9,1.27,1966,10
306,ND,NORTH DAKOTA,RUBELLA,1,0.15,1966,10
307,NH,NEW HAMPSHIRE,RUBELLA,14,2.06,1966,10
308,NY,NEW YORK,RUBELLA,85,0.48,1966,10
309,OH,OHIO,RUBELLA,41,0.4,1966,10
310,OR,OREGON,RUBELLA,42,2.13,1966,10
311,PA,PENNSYLVANIA,RUBELLA,3,0.03,1966,10
312,RI,RHODE ISLAND,RUBELLA,4,0.44,1966,10
313,SC,SOUTH CAROLINA,RUBELLA,18,0.71,1966,10
314,TN,TENNESSEE,RUBELLA,65,1.7,1966,10
315,TX,TEXAS,RUBELLA,2,0.02,1966,10
316,UT,UTAH,RUBELLA,6,0.59,1966,10
317,VA,VIRGINIA,RUBELLA,62,1.39,1966,10
318,VT,VERMONT,RUBELLA,3,0.73,1966,10
319,WA,WASHINGTON,RUBELLA,112,3.66,1966,10
320,WI,WISCONSIN,RUBELLA,187,4.38,1966,10
321,WV,WEST VIRGINIA,RUBELLA,96,5.41,1966,10
322,AK,ALASKA,RUBELLA,2,0.74,1966,11
323,AZ,ARIZONA,RUBELLA,150,9.29,1966,11
324,CA,CALIFORNIA,RUBELLA,115,0.61,1966,11
325,CO,COLORADO,RUBELLA,19,0.95,1966,11
326,CT,CONNECTICUT,RUBELLA,110,3.79,1966,11
327,DE,DELAWARE,RUBELLA,6,1.16,1966,11
328,FL,FLORIDA,RUBELLA,32,0.52,1966,11
329,HI,HAWAII,RUBELLA,4,0.56,1966,11
330,IA,IOWA,RUBELLA,105,3.8,1966,11
331,ID,IDAHO,RUBELLA,5,0.73,1966,11
332,IL,ILLINOIS,RUBELLA,183,1.69,1966,11
333,IN,INDIANA,RUBELLA,89,1.78,1966,11
334,KY,KENTUCKY,RUBELLA,185,5.88,1966,11
335,MA,MASSACHUSETTS,RUBELLA,74,1.34,1966,11
336,MD,MARYLAND,RUBELLA,35,0.95,1966,11
337,ME,MAINE,RUBELLA,6,0.6,1966,11
338,MI,MICHIGAN,RUBELLA,53,0.62,1966,11
339,MN,MINNESOTA,RUBELLA,16,0.44,1966,11
340,MT,MONTANA,RUBELLA,5,0.71,1966,11
341,ND,NORTH DAKOTA,RUBELLA,5,0.77,1966,11
342,NH,NEW HAMPSHIRE,RUBELLA,16,2.35,1966,11
343,NY,NEW YORK,RUBELLA,104,0.58,1966,11
344,OH,OHIO,RUBELLA,22,0.21,1966,11
345,OR,OREGON,RUBELLA,24,1.22,1966,11
346,PA,PENNSYLVANIA,RUBELLA,3,0.03,1966,11
347,RI,RHODE ISLAND,RUBELLA,3,0.33,1966,11
348,SC,SOUTH CAROLINA,RUBELLA,21,0.83,1966,11
349,TN,TENNESSEE,RUBELLA,82,2.15,1966,11
350,TX,TEXAS,RUBELLA,1,0.01,1966,11
351,UT,UTAH,RUBELLA,1,0.1,1966,11
352,VA,VIRGINIA,RUBELLA,55,1.23,1966,11
353,WA,WASHINGTON,RUBELLA,109,3.57,1966,11
354,WI,WISCONSIN,RUBELLA,236,5.52,1966,11
355,WV,WEST VIRGINIA,RUBELLA,31,1.75,1966,11
356,WY,WYOMING,RUBELLA,3,0.93,1966,11
357,AK,ALASKA,RUBELLA,2,0.74,1966,12
358,AL,ALABAMA,RUBELLA,4,0.12,1966,12
359,AZ,ARIZONA,RUBELLA,135,8.36,1966,12
